static_text,log_level,project
Failed closing stream *,warn,cassandra
Failed closing *,warn,cassandra
Received null list of files to delete,debug,cassandra
Failed to list files in * with exception: *,error,cassandra
Scheduling deferred deletion of file: *,trace,cassandra
Error while getting * folder size. *,error,cassandra
Error while closing mmapped regions,error,cassandra
Failed to close mapped regions,error,cassandra
"EC2Snitch using region: *, zone: *.",info,cassandra
Configured datacenter replicas are *,trace,cassandra
Updating topology for all endpoints that have changed,info,cassandra
"No bootstrapping, leaving or moving nodes -> empty pending ranges for *",trace,cassandra
Starting pending range calculation for *,debug,cassandra
Pending range calculation for * completed (took: *ms),debug,cassandra
Calculated pending ranges for *: *,trace,cassandra
Unable to read *,warn,cassandra
Seed provider couldn't lookup host *,warn,cassandra
Error in getting the IP address resolved: ,error,cassandra
Initiated reconnect to an Internal IP * for the *,debug,cassandra
"* found, but does not look like a plain file. Will not watch it for changescassandra-topology.properties",error,cassandra
"Could not find end point information for *, will use default",trace,cassandra
Loaded network topology from property file: *,trace,cassandra
"Cannot update data center or rack from * to * for live host *, property file NOT RELOADED",error,cassandra
"GCESnitch using region: *, zone: *.",info,cassandra
EC2Snitch using publicIP as identifier: *,info,cassandra
"broadcast_rpc_address unset, broadcasting public IP as rpc_address: *",info,cassandra
Loaded * for compatibilitycassandra-topology.properties,info,cassandra
Unable to load *; compatibility mode disabledcassandra-topology.properties,info,cassandra
clearing cached endpoints,trace,cassandra
Ignoring *,warn,cassandra
"* has * dropped hints, because node is down past configured hint window.",warn,cassandra
Error while reading from socket from *.,error,cassandra
Error closing socket,debug,cassandra
$$$Empty Message$$$,trace,cassandra
"Initialized back-pressure with high ratio: *, factor: *, flow: *, window size: *.",info,cassandra
"Back-pressure state for *: incoming rate *, outgoing rate *, ratio *, rate limiting *",trace,cassandra
* currently applied for remote replicas: *,info,cassandra
"Cannot apply * due to exceeding write timeout, pausing * nanoseconds instead.",info,cassandra
Failed to set receive buffer size on internode socket.,warn,cassandra
eof reading from socket; closing,trace,cassandra
UnknownColumnFamilyException reading from socket; closing,warn,cassandra
IOException reading from socket; closing,trace,cassandra
Closing socket * - isclosed: *,trace,cassandra
Error closing socket,trace,cassandra
Received connection from newer protocol version *. Ignoring message,trace,cassandra
$$$Empty Message$$$,error,cassandra
Enqueuing socket close for *,debug,cassandra
error processing a message intended for *,error,cassandra
Error writing to *,debug,cassandra
error writing to *,error,cassandra
Socket to * closed,debug,cassandra
Exception closing connection to *,debug,cassandra
Attempting to connect to *,debug,cassandra
Failed to set send buffer size on internode socket.,warn,cassandra
"Target max version is *; no version information yet, will retry",trace,cassandra
Target max version is *; will reconnect with that version,trace,cassandra
Seed gossip version is *; will not connect with that version,warn,cassandra
Configuration error prevented outbound connection: *,warn,cassandra
Detected higher max version * (using *); will reconnect when queued messages are done,trace,cassandra
Upgrading OutputStream to * to be compressed,trace,cassandra
Done connecting to *,debug,cassandra
SSL handshake error for outbound connection to ,error,cassandra
Unable to connect to *,debug,cassandra
Expiration of * took *μs,trace,cassandra
Resetting pool for *,trace,cassandra
Starting Encrypted Messaging Service on SSL port *,info,cassandra
await interrupted,trace,cassandra
Message-to-self * going over MessagingService,trace,cassandra
Setting version * for *,trace,cassandra
Resetting version for *,trace,cassandra
Assuming current protocol version for *,trace,cassandra
$$$Empty Message$$$,info,cassandra
remote failed to authenticate,trace,cassandra
Connection version * from *,trace,cassandra
Asynchronous close seen by server thread,trace,cassandra
MessagingService server thread already closed,trace,cassandra
SSL handshake error for inbound connection from ,error,cassandra
Error reading the socket *,trace,cassandra
MessagingService has terminated the accept() thread,info,cassandra
Closing accept() thread,trace,cassandra
[repair #*] *,info,cassandra
[repair #*] *,info,cassandra
[repair #*] *,info,cassandra
[repair #*] Repair completed between * and * on *,debug,cassandra
[repair #*] new session: will sync * on range * for *.*,info,cassandra
[repair #*] *,info,cassandra
[repair #*] *,error,cassandra
[repair #*] *Session completed successfully,info,cassandra
Validated * partitions for *.  Partitions per leaf are:,debug,cassandra
Validated * partitions for *.  Partition sizes are:,debug,cassandra
"Failed creating a merkle tree for *, * (see log for details)",error,cassandra
[repair #*] Sending completed merkle tree to * for *.*,info,cassandra
Repair failed:,error,cassandra
$$$Empty Message$$$,info,cassandra
Repair failed:,error,cassandra
$$$Empty Message$$$,info,cassandra
$$$Empty Message$$$,error,cassandra
$$$Empty Message$$$,info,cassandra
[repair #*] *,info,cassandra
[streaming task #*] Performing streaming repair of * ranges with *,info,cassandra
"[repair #*] streaming task succeed, returning response to *",info,cassandra
Error executing query ,error,cassandra
"Preparing, *",debug,cassandra
Snapshotting *,debug,cassandra
Enqueuing response to snapshot request * to *,debug,cassandra
Validating *,debug,cassandra
Table *.* was dropped during snapshot phase of repair,error,cassandra
Syncing *,debug,cassandra
Got anticompaction request *,debug,cassandra
cleaning up repair,debug,cassandra
"Got error, removing parent repair session",error,cassandra
$$$Empty Message$$$,error,cassandra
[repair #*] Endpoint * died during anti-compaction,error,cassandra
[repair #*] * is fully synced,info,cassandra
[repair #*] * sync failed,warn,cassandra
[repair #*] *,info,cassandra
[repair #*] *,info,cassandra
Validating *,info,cassandra
Validating *,info,cassandra
[repair #*] *,info,cassandra
Validating *,info,cassandra
Validating *,info,cassandra
Incremental repair can't be requested with subrange repair because each subrange repair would generate an anti-compacted table. The repair will occur but without anti-compaction.,warn,cassandra
Sequential repair disabled when memory-mapped I/O is configured on Windows. Reverting to parallel.,warn,cassandra
Started the RoundRobin Request Scheduler,info,cassandra
$$$Empty Message$$$,error,cassandra
restart cassandra with -Dcassandra.ignore_corrupted_schema_tables=true and ,error,cassandra
Skipping duplicate compilation of already existing UDF *,trace,cassandra
The option crc_check_chance was deprecated as a compression option. You should specify it as a top-level table option instead,warn,cassandra
The * option has been deprecated. You should use * insteadchunk_length_kbchunk_length_in_kb,warn,cassandra
The * option has been deprecated. You should use * insteadsstable_compressionclass,warn,cassandra
Moving * keyspaces from legacy schema tables to the new schema keyspace (*)system_schema,info,cassandra
Truncating legacy schema tables,info,cassandra
Completed migration of legacy schema tables,info,cassandra
Migrating keyspace *,info,cassandra
Failed to find index name for legacy migration of index on *.*,error,cassandra
Compaction strategy * does not have a static validateOptions method. Validation ignored,warn,cassandra
Indexer * does not have a static validateOptions method. Validation ignored,info,cassandra
initializing keystore from file *,info,cassandra
Certificate for * expired on *,warn,cassandra
Filtering out * as it isn't supported by the socket,warn,cassandra
initializing CipherFactory,info,cassandra
key * removed from cipher key cache,info,cassandra
loading secret key for alias *,info,cassandra
could not build cipher,error,cassandra
$$$Empty Message$$$,warn,cassandra
$$$Empty Message$$$,info,cassandra
$$$Empty Message$$$,trace,cassandra
Error accessing field of java.nio.Bits,trace,cassandra
Cannot start multiple repair sessions over the same sstables,error,cassandra
Cannot start multiple repair sessions over the same sstables,error,cassandra
Removing * in parent repair sessions,debug,cassandra
Initializing key cache with capacity of * MBs.,info,cassandra
Initializing row cache with capacity of * MBs,info,cassandra
Initializing counter cache with capacity of * MBs,info,cassandra
submitting cache saves,debug,cassandra
cache saves completed,debug,cassandra
JMX settings in cassandra-env.sh have been bypassed as the JMX connector server is already initialized. Please refer to cassandra-env.(sh|ps1) for JMX configuration info,warn,cassandra
Exception in thread ,error,cassandra
Exception in thread ,error,cassandra
Exception in thread ,error,cassandra
opening keyspace *,debug,cassandra
Error loading key or row cache,warn,cassandra
Unable to start GCInspector (currently only supported on the Sun JVM),warn,cassandra
Trying to load metrics-reporter-config from file: *,info,cassandra
"Failed to load metrics-reporter-config, file does not exist: *",warn,cassandra
"Failed to load metrics-reporter-config, metric sinks will not be activated",warn,cassandra
Hostname: *,info,cassandra
Could not resolve local host,info,cassandra
JVM vendor/version: */*,info,cassandra
Heap size: */*,info,cassandra
* *: *,info,cassandra
Classpath: *,info,cassandra
JVM Arguments: *,info,cassandra
Not starting client transports in write_survey mode as it's bootstrapping or auth is enabled,info,cassandra
Not starting client transports as bootstrap has not completed,info,cassandra
Not starting native transport as requested. Use JMX (StorageService->startNativeTransport()) or nodetool (enablebinary) to start it,info,cassandra
Not starting RPC server as requested. Use JMX (StorageService->startRPCServer()) or nodetool (enablethrift) to start it,info,cassandra
Cassandra shutting down...,info,cassandra
Error shutting down local JMX server: ,error,cassandra
Exception encountered during startup,error,cassandra
Exception encountered during startup: *,error,cassandra
$$$Empty Message$$$,error,cassandra
Sending a EchoMessage reply *,trace,cassandra
Enqueuing response to snapshot request * to *,debug,cassandra
Can't send schema pull request: node * is down.,warn,cassandra
Skipped sending a migration request: node * has a higher major version now.,info,cassandra
Configuration exception merging remote schema,error,cassandra
Disseminating load info ...,trace,cassandra
Got failure from *,trace,cassandra
resolving * responses,trace,cassandra
resolve: * ms.,trace,cassandra
Finished PendingRangeTask for * keyspaces in *ms,trace,cassandra
Overriding RING_DELAY to *ms,info,cassandra
Stopping gossip by operator request,warn,cassandra
Stopping gossiper,error,cassandra
Stopping RPC server,error,cassandra
Stopping native transport,error,cassandra
Gathering node replacement information for *,info,cassandra
Skipping endpoint collision check as cassandra.allow_unsafe_join=true,warn,cassandra
Starting shadow gossip round to check for endpoint collision,debug,cassandra
Unable to gossip with any peers but continuing anyway since node is in its own seed list,info,cassandra
Populating token metadata from system tables,info,cassandra
Token metadata: *,info,cassandra
Cassandra version: *,info,cassandra
Thrift API version: *20.1.0,info,cassandra
CQL supported versions: * (default: *),info,cassandra
Not starting gossip as requested.,info,cassandra
Error loading counter cache,warn,cassandra
Not joining ring as requested. Use JMX (StorageService->joinRing()) to initiate ring joining,info,cassandra
Loading persisted ring state,info,cassandra
Replace address on first boot requested; this node is already bootstrapped,info,cassandra
"This node was decommissioned, but overriding by operator request.",warn,cassandra
"Writes will not be forwarded to this node during replacement because it has the same address as the node to be replaced (*). If the previous node has been down for longer than max_hint_window_in_ms, repair must be run after the replacement process in order to make this node consistent.",warn,cassandra
Starting up server gossip,info,cassandra
got schema: *,debug,cassandra
Bootstrap variables: * * * *,debug,cassandra
This node will not auto bootstrap because it is configured to be a seed node.,info,cassandra
Detected previous bootstrap failure; retrying,warn,cassandra
... got ring + schema info,debug,cassandra
Using saved tokens *,info,cassandra
"Some data streaming failed. Use nodetool to check bootstrap state and resume. For more, see `nodetool help bootstrap`. *",warn,cassandra
"Startup complete, but write survey mode is active, not becoming an active ring member. Use JMX (StorageService->joinRing()) to finalize ring joining.",info,cassandra
"Some data streaming failed. Use nodetool to check bootstrap state and resume. For more, see `nodetool help bootstrap`. *",warn,cassandra
Joining ring by operator request,info,cassandra
Leaving write survey mode and joining ring at operator request,info,cassandra
Can't join the ring because in write_survey mode and bootstrap hasn't completed,warn,cassandra
Can't join the ring because bootstrap hasn't completed.,warn,cassandra
"Attempted to create new keyspace *, but it already exists",debug,cassandra
"rebuild from dc: *, *, *",info,cassandra
"adding range: (*,*]",info,cassandra
Error while rebuilding node,error,cassandra
set rpc timeout to * ms,info,cassandra
set read rpc timeout to * ms,info,cassandra
set range rpc timeout to * ms,info,cassandra
set write rpc timeout to * ms,info,cassandra
set counter write rpc timeout to * ms,info,cassandra
set cas contention rpc timeout to * ms,info,cassandra
set truncate rpc timeout to * ms,info,cassandra
set streaming socket timeout to * ms,info,cassandra
setstreamthroughput: throttle set to *,info,cassandra
setinterdcstreamthroughput: throttle set to *,info,cassandra
$$$Empty Message$$$,info,cassandra
$$$Empty Message$$$,debug,cassandra
Resetting bootstrap progress to start fresh,info,cassandra
Bootstrap completed! for the tokens *,info,cassandra
Error during bootstrap.,warn,cassandra
Error while waiting on bootstrap to complete. Bootstrap will have to be restarted.,error,cassandra
Resuming bootstrap...,info,cassandra
"Startup complete, but write survey mode is active, not becoming an active ring member. Use JMX (StorageService->joinRing()) to finalize ring joining.",info,cassandra
Resume complete,info,cassandra
$$$Empty Message$$$,error,cassandra
"Resuming bootstrap is requested, but the node is already bootstrapped.",info,cassandra
Ignoring state change for dead or unknown endpoint: *,debug,cassandra
"Node * state bootstrapping, token *",debug,cassandra
Node * state jump to bootstrap,info,cassandra
Node * tried to replace malformed endpoint *.,error,cassandra
"Node * is replacing *, tokens *",debug,cassandra
"Node * state leaving, tokens *",debug,cassandra
Node * state jump to leaving,info,cassandra
Node * 'leaving' token mismatch. Long network partition?,warn,cassandra
Received removenode gossip about myself. Is this node rejoining after an explicit removenode?,info,cassandra
Tokens * removed manually (endpoint was *),debug,cassandra
Removing tokens * for *,info,cassandra
Notifying * of replication completion ,debug,cassandra
Requesting from * ranges *,debug,cassandra
Streaming to restore replica count failed,warn,cassandra
Node * ranges [*],debug,cassandra
Range * already in all replicas,debug,cassandra
Range * will be responsibility of *,debug,cassandra
Cleared out snapshot directories,debug,cassandra
"Forcing flush on keyspace *, CF *",debug,cassandra
Snapshot-based repair is not yet supported on Windows.  Reverting to parallel repair.,warn,cassandra
Snapshot-based repair is not yet supported on Windows.  Reverting to parallel repair.,warn,cassandra
Incremental repair can't be requested with subrange repair because each subrange repair would generate an anti-compacted table. The repair will occur but without anti-compaction.,warn,cassandra
starting user-requested repair of range * for keyspace * and column families *,info,cassandra
computing ranges for *,trace,cassandra
DECOMMISSIONING,debug,cassandra
failed to shutdown message service: *,info,cassandra
Error while decommissioning node ,error,cassandra
Announcing that I have left the ring for *ms,info,cassandra
Ranges needing transfer are [*],debug,cassandra
waiting for batch log processing.,debug,cassandra
waiting for stream acks.,debug,cassandra
stream acks all received.,debug,cassandra
Unable to stream hints since no live endpoints seen,warn,cassandra
Invalid request to move(Token); This node has more than one token and cannot be moved thusly.,error,cassandra
Successfully moved to new token *,debug,cassandra
Removal not confirmed for for *,warn,cassandra
"No nodes to force removal on, call 'removenode' first",warn,cassandra
"Node * is already being removed, continuing removal anyway",warn,cassandra
Endpoint * is down and will not receive data for re-replication of *,warn,cassandra
Received unexpected REPLICATION_FINISHED message from *. Was this node recently a removal coordinator?,info,cassandra
"Created new dynamic snitch * with update-interval=*, reset-interval=*, badness-threshold=*",info,cassandra
Created new non-dynamic snitch *,info,cassandra
"Applying config change to dynamic snitch * with update-interval=*, reset-interval=*, badness-threshold=*",info,cassandra
"Skipping transferred range * of keyspace *, endpoint *",debug,cassandra
Updated hinted_handoff_throttle_in_kb to *,info,cassandra
"Not pulling schema because release version in Gossip is not major version *, it is *",debug,cassandra
"Not pulling schema from *, because local schama version is not known yet",debug,cassandra
"Not pulling schema from *, because schema versions match: local/real=*, local/compatible=*, remote=*",debug,cassandra
Not pulling schema because versions match or shouldPullSchemaFrom returned false,debug,cassandra
"Immediately submitting migration task for *, schema versions: local/real=*, local/compatible=*, remote=*",debug,cassandra
Migration task failed to complete,error,cassandra
Migration task was interrupted,error,cassandra
Create new Keyspace: *,info,cassandra
Create new table: *,info,cassandra
Create new view: *,info,cassandra
Create scalar function '*',info,cassandra
Create aggregate function '*',info,cassandra
Update Keyspace '*' From * To *,info,cassandra
Update table '*/*' From * To *,info,cassandra
Update view '*/*' From * To *,info,cassandra
Update type '*.*' to *,info,cassandra
Drop Keyspace '*',info,cassandra
Drop table '*/*',info,cassandra
Drop table '*/*',info,cassandra
Drop scalar function overload '*' args '*',info,cassandra
Drop aggregate function overload '*' args '*',info,cassandra
Gossiping my * schema version *,debug,cassandra
Starting local schema reset...,info,cassandra
Truncating schema tables...,debug,cassandra
Clearing local schema keyspace definitions...,debug,cassandra
Requesting schema from *,debug,cassandra
Local schema reset is complete.,info,cassandra
jemalloc shared library could not be preloaded to speed up memory allocations,warn,cassandra
jemalloc preload explicitly disabled,info,cassandra
jemalloc seems to be preloaded from *,info,cassandra
JMX is not enabled to receive remote connections. Please see cassandra-env.sh for more info.,warn,cassandra
"cassandra.jmx.local.port missing from cassandra-env.sh, unable to start local JMX service.",error,cassandra
JMX is enabled to receive remote connections on port: *,info,cassandra
Use of com.sun.management.jmxremote.port at startup is deprecated. Please use cassandra.jmx.remote.port instead.,warn,cassandra
32bit JVM detected.  It is recommended to run Cassandra on a 64bit JVM for better performance.,warn,cassandra
"Non-Oracle JVM detected.  Some features, such as immediate unmap of compacted SSTables, may not work as intended",warn,cassandra
"The JVM is not configured to stop on OutOfMemoryError which can cause data corruption. Use one of the following JVM options to configure the behavior on OutOfMemoryError:  -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, or -XX:OnOutOfMemoryError=""<cmd args>;<cmd args>""",warn,cassandra
"The JVM is not configured to stop on OutOfMemoryError which can cause data corruption. Either upgrade your JRE to a version greater or equal to 8u92 and use -XX:+ExitOnOutOfMemoryError/-XX:+CrashOnOutOfMemoryError or use -XX:OnOutOfMemoryError=""<cmd args>;<cmd args>"" on your current JRE.",warn,cassandra
Unable to parse *.,warn,cassandra
IO exception while reading file *.,warn,cassandra
"Maximum number of memory map areas per process (vm.max_map_count) * is too low, recommended value: *, you can change it with sysctl.1048575",warn,cassandra
Failed to apply paxos commit locally : *,error,cassandra
"Received base materialized view mutation for key * that does not belong to this node. There is probably a range movement happening (move or decommission),but this node hasn't updated its ring metadata yet. Adding mutation to local batchlog to be replayed later.",warn,cassandra
Error applying local view update to keyspace *: *,error,cassandra
Sending batchlog store request * to * for * mutations,trace,cassandra
Sending batchlog remove request * to *,trace,cassandra
Adding FWD message to *@*,trace,cassandra
Sending message to *@*,trace,cassandra
Failed to apply mutation locally : *,error,cassandra
Failed to apply mutation locally : *,error,cassandra
Timed out waiting on digest mismatch repair requests,trace,cassandra
$$$Empty Message$$$,error,cassandra
"Didn't get enough response rows; actual rows per range: *; remaining rows: *, new concurrent requests: *",trace,cassandra
"Estimated result rows per range: *; requested rows: *, ranges.size(): *; concurrent range requests: *",trace,cassandra
Hosts not in agreement. Didn't get a response from everybody: *,debug,cassandra
* disagrees (*),debug,cassandra
Schemas are in agreement.,debug,cassandra
"Starting a blocking truncate operation on keyspace *, CF *",debug,cassandra
"Cannot perform truncate, some hosts are down",info,cassandra
"Some hints were not written before shutdown.  This is not supposed to happen.  You should (a) run repair, and (b) file a bug report",warn,cassandra
Discarding hint for endpoint not part of ring: *,debug,cassandra
Adding hints for *,trace,cassandra
Netty using native Epoll event loop,info,cassandra
Netty using Java NIO event loop,info,cassandra
Timeout while read-repairing after receiving all * data and digest responses,debug,cassandra
"Encountered an oversized (*/*) read repair mutation for table *.*, key *, node *",debug,cassandra
"Encountered an oversized (*/*) read repair mutation for table *.*, key *, node *",warn,cassandra
*; received * of * responses*,debug,cassandra
Read: * ms.,trace,cassandra
reading * from *,trace,cassandra
reading * locally,trace,cassandra
speculating read retry on *,trace,cassandra
Prepare response * from *,trace,cassandra
Propose response * from *,trace,cassandra
Failed attempt * to connect to *. Retrying in * ms. (*),warn,cassandra
Connecting next session * with *.,debug,cassandra
Finished connecting all sessions,debug,cassandra
"[Stream #*, ID#*] Beginning stream session with *",info,cassandra
"[Stream #*] Start receiving file #* from *, repairedAt = *, size = *, ks = '*', table = '*'.",debug,cassandra
"[Stream #*] Finished receiving file #* from * readBytes = *, totalSize = *",debug,cassandra
[Stream *] Error while reading partition * from stream on ks='*' and table='*'.,warn,cassandra
"Initializing rewindable input stream for reading legacy sstable with * bytes with following parameters: initial_mem_buffer_size=*, max_mem_buffer_size=*, max_spill_file_size=*.",trace,cassandra
Error while closing RewindableDataInputStreamPlus.,warn,cassandra
"[Stream #*] Start streaming file * to *, repairedAt = *, totalSize = *",debug,cassandra
"[Stream #*] Finished streaming file * to *, bytesTransferred = *, totalSize = *",debug,cassandra
Peer * does not support keep-alive.,debug,cassandra
[Stream #*] Session does not have any tasks.,info,cassandra
[Stream #*] Starting streaming to **,info,cassandra
[Stream #*] Finishing keep-alive task.,debug,cassandra
"[Stream #*] Did not receive response from peer ** for * secs. Is peer down? If not, maybe try increasing streaming_keep_alive_period_in_secs.",error,cassandra
[Stream #*] Streaming socket timed out. This means the session peer stopped responding or is still processing received data. If there is no sign of failure in the other end or a very dense table is being transferred you may want to increase streaming_socket_timeout_in_ms property. Current value is *ms.,error,cassandra
[Stream #*] Streaming error occurred on session with peer **,error,cassandra
[Stream #*] Scheduling keep-alive task with *s period.,debug,cassandra
[Stream #*] Remote peer * failed stream session.,error,cassandra
[Stream #*] Session failed because remote peer * has left.,error,cassandra
[Stream #*] Session failed because remote peer * was restarted.,error,cassandra
[Stream #*] Sending keep-alive to *.,trace,cassandra
[Stream #*] Could not send keep-alive message (perhaps stream session is finished?).,debug,cassandra
[Stream #*] Skip sending keep-alive to * (previous was not yet sent).,trace,cassandra
[Stream #*] Sending stream init for incoming stream,debug,cassandra
[Stream #*] Sending stream init for outgoing stream,debug,cassandra
[Stream #*] Closing stream connection handler on *,debug,cassandra
Unexpected error while closing streaming connection,debug,cassandra
Could not set incoming socket timeout to *,warn,cassandra
[Stream #*] Received *,debug,cassandra
[Stream #*] Sending *,debug,cassandra
[Stream #*] Received * sstables from * (*),debug,cassandra
[Stream #*] Invalidated * row cache entries on table *.* after stream receive task completed.,debug,cassandra
[Stream #*] Invalidated * counter cache entries on table *.* after stream receive task completed.,debug,cassandra
[Stream #*] Executing streaming plan for *,info,cassandra
[Stream #* ID#*] Creating new streaming plan for *,info,cassandra
"[Stream #*, ID#*] Received streaming plan for *",info,cassandra
"[Stream #* ID#*] Prepare completed. Receiving * files(*), sending * files(*)",info,cassandra
[Stream #*] Session with * is complete,info,cassandra
[Stream #*] Stream failed,warn,cassandra
[Stream #*] All sessions completed,info,cassandra
Replying to *@*,debug,cassandra
Error while reading compressed input stream.,warn,cassandra
"[Stream #*] Start streaming file * to *, repairedAt = *, totalSize = *",debug,cassandra
[Stream #*] Writing section * with length * to stream.,trace,cassandra
"[Stream #*] Finished streaming file * to *, bytesTransferred = *, totalSize = *",debug,cassandra
Interrupted while waiting thrift server to stop,error,cassandra
Binding thrift service to *:*,info,cassandra
Listening for thrift clients...,info,cassandra
Stop listening to thrift clients,info,cassandra
Failed to set keep-alive on Thrift socket.,warn,cassandra
Failed to set send buffer size on Thrift socket.,warn,cassandra
Failed to set receive buffer size on Thrift socket.,warn,cassandra
Could not set socket timeout.,error,cassandra
Could not close server socket.,warn,cassandra
Failed to set keep-alive on Thrift socket.,warn,cassandra
Failed to set send buffer size on Thrift socket.,warn,cassandra
Failed to set receive buffer size on Thrift socket.,warn,cassandra
get_slice,trace,cassandra
multiget_slice,trace,cassandra
get_count,trace,cassandra
average row column size is *; using pageSize of *,trace,cassandra
multiget_count,trace,cassandra
insert,trace,cassandra
cas,trace,cassandra
batch_mutate,trace,cassandra
atomic_batch_mutate,trace,cassandra
remove,trace,cassandra
get_paged_slice,trace,cassandra
scan,trace,cassandra
Failed to find metadata for keyspace '*'. Continuing... ,info,cassandra
add_column_family,trace,cassandra
drop_column_family,trace,cassandra
add_keyspace,trace,cassandra
drop_keyspace,trace,cassandra
update_keyspace,trace,cassandra
update_column_family,trace,cassandra
truncating *.*,trace,cassandra
checking schema agreement,trace,cassandra
add,trace,cassandra
remove_counter,trace,cassandra
execute_cql3_query,trace,cassandra
prepare_cql3_query,trace,cassandra
execute_prepared_cql3_query,trace,cassandra
Retrieved prepared statement #* with * bind markers,trace,cassandra
get_multi_slice,trace,cassandra
Could not configure socket.,warn,cassandra
Could not configure socket.,error,cassandra
Could not set socket timeout.,warn,cassandra
Could not close socket.,warn,cassandra
Using non-blocking/asynchronous thrift server on * : *,info,cassandra
Using custom half-sync/half-async thrift server on * : *,info,cassandra
Using custom thrift server * on * : *,info,cassandra
rejecting invalid value *,trace,cassandra
Starting up *,info,cassandra
Error occurred during listening.,error,cassandra
Transport error occurred during acceptance of message.,warn,cassandra
Dropping client connection because our limit of * has been reached,trace,cassandra
Maximum number of clients * reached,warn,cassandra
Thrift transport error occurred during processing of message.,trace,cassandra
Thrift error occurred during processing of message.,error,cassandra
Error occurred during processing of message.,error,cassandra
enabling encrypted thrift connections between client and server,info,cassandra
Fatal error parsing partition: *,error,cassandra
Fatal error parsing row.,error,cassandra
Failure parsing ColumnData.,error,cassandra
Failure parsing cell.,error,cassandra
Adding <*> to trace events,trace,cassandra
Waiting for up to * seconds for * trace events to complete,trace,cassandra
Failed to wait for tracing events to complete in * seconds,trace,cassandra
Got exception whilst waiting for tracing events to complete,error,cassandra
"Failed to insert pending future, tracing synchronization may not work",warn,cassandra
Too many nodes are overloaded to save trace events,warn,cassandra
request complete,trace,cassandra
Exceeded maximum native connection limit of * by using * connections,warn,cassandra
Exceeded maximum native connection limit per ip of * by using * connections,warn,cassandra
$$$Empty Message$$$,trace,cassandra
$$$Empty Message$$$,info,cassandra
$$$Empty Message$$$,error,cassandra
Enabling optionally encrypted CQL connections between client and server,info,cassandra
Enabling encrypted CQL connections between client and server,info,cassandra
Using Netty Version: *,info,cassandra
Starting listening for CQL clients on * (*)...,info,cassandra
Stop listening for CQL clients,info,cassandra
Problem retrieving RPC address for *,error,cassandra
"Sending event for endpoint *, rpc address *",trace,cassandra
"Topology changed event : *, *",trace,cassandra
"Status changed event : *, *",trace,cassandra
Exception in response,error,cassandra
Unexpected error during query,error,cassandra
Unexpected exception during request,error,cassandra
Loading new jar *,info,cassandra
"Class not found using parent class loader,",trace,cassandra
Configured JMX server at: *,info,cassandra
"JMX SSL configuration. { protocols: [*], cipher_suites: [*], require_client_auth: * }",debug,cassandra
Expired * entries,trace,cassandra
"Will try to load mx4j now, if it's in the classpath",trace,cassandra
mx4j successfuly loaded,info,cassandra
"Will not load MX4J, mx4j-tools.jar is not in the classpath",trace,cassandra
Could not start register mbean in JMX,warn,cassandra
JNA mlockall successful,info,cassandra
"Unable to lock JVM memory (ENOMEM). This can result in part of the JVM being swapped out, especially with mmapped I/O enabled. Increase RLIMIT_MEMLOCK or run Cassandra as root.",warn,cassandra
Unknown mlockall error *,warn,cassandra
Could not skip cache,warn,cassandra
"posix_fadvise(*, *) failed, errno (*).",warn,cassandra
"fcntl(*, *, *) failed, errno (*).",warn,cassandra
"open(*, O_RDONLY) failed, errno (*).",warn,cassandra
"fsync(*) failed, errorno (*) *",warn,cassandra
"close(*) failed, errno (*).",warn,cassandra
Unable to read fd field from FileChannel,warn,cassandra
Unable to read fd field from FileDescriptor,warn,cassandra
Failed to get PID from JNA,info,cassandra
"Digest mismatch detected among leaf nodes *, *",debug,cassandra
"Digest mismatch detected, traversing trees [*, *]",debug,cassandra
Range * fully inconsistent,debug,cassandra
"(*) No sane midpoint (*) for range * , marking whole range as inconsistent",debug,cassandra
"(*) Hashing sub-ranges [*, *] for * divided by midpoint *",debug,cassandra
"(*) Inconsistent digest on left sub-range *: [*, *]",debug,cassandra
(*) Left sub-range fully inconsistent *,debug,cassandra
"(*) Inconsistent digest on right sub-range *: [*, *]",debug,cassandra
(*) Right sub-range fully inconsistent *,debug,cassandra
"(*) Fully inconsistent range [*, *]",debug,cassandra
(*) Adding left sub-range to diff as fully inconsistent *,debug,cassandra
(*) Adding right sub-range to diff as fully inconsistent *,debug,cassandra
(*) Range * partially inconstent,debug,cassandra
"Trigger directory doesn't exist, please create it and try again.",warn,cassandra
Unable to load version.properties,warn,cassandra
$$$Empty Message$$$,info,cassandra
$$$Empty Message$$$,warn,cassandra
$$$Empty Message$$$,error,cassandra
$$$Empty Message$$$,info,cassandra
$$$Empty Message$$$,warn,cassandra
$$$Empty Message$$$,error,cassandra
Failed to set timer to : *. Performance will be degraded.,warn,cassandra
Failed to end accelerated timer period. System timer will remain set to: * ms.,warn,cassandra
$$$Empty Message$$$,info,cassandra
$$$Empty Message$$$,trace,cassandra
$$$Empty Message$$$,warn,cassandra
$$$Empty Message$$$,warn,cassandra
Unable to create output file for debugging coalescing,error,cassandra
* gap *μs,info,cassandra
Underlying string constructor threw an error: *,error,cassandra
Some JRE information could not be retrieved for the JRE version: ,error,cassandra
Cannot provide an optimal BloomFilter for * elements (*/* buckets per element).,warn,cassandra
Initializing SIGAR library,info,cassandra
